dataset,cfg,phi,interesting,reason_skipped,K,n_executions,K_ratio,cfg_height,cfg_height_norm,avg_behavior_size,support_min,support_mean,support_max,reduction_from_bottom,compression_from_bottom,behavior_time_s,mining_time_s,miner,n_graphs,avg_mining_graph_size,total_mining_graph_size,min_support_effective,n_patterns_raw,n_patterns_in_window,pattern_support_min,pattern_support_mean,pattern_support_median,pattern_support_max,pattern_support_ratio_mean,pattern_support_ratio_median,pattern_support_ratio_max,high_support_threshold_ratio,high_support_threshold_abs,n_high_support_patterns,high_support_pattern_ratio
hinge_production_filtered,"(1, 1, 3, 3, 1, 3, 1, 4)",facility: ρ = type  │  femalepart: ρ = type  │  formedpart: ρ = type  │  hinge: ρ = type  │  hingepack: ρ = type  │  malepart: ρ = type  │  steelpin: ρ = type  │  steelsheet: ρ = type,True,,2,2907,0.0006879944960440316,15,1.0,26.995184038527693,7,1453.5,2900,0.9993120055039559,0.0,0.1997895829999976,2.19117612499997,gspan,2907,26.995184038527693,78475,145,6,0,0,0.0,0.0,0,0.0,0.0,0.0,0.25,726,0,0.0
hinge_production_filtered,"(0, 1, 3, 3, 1, 3, 1, 4)",facility: ρ = id  │  femalepart: ρ = type  │  formedpart: ρ = type  │  hinge: ρ = type  │  hingepack: ρ = type  │  malepart: ρ = type  │  steelpin: ρ = type  │  steelsheet: ρ = type,True,,2,2907,0.0006879944960440316,14,0.9333333333333333,26.995184038527693,7,1453.5,2900,0.9993120055039559,0.0,0.33514337500000124,2.202336166000009,gspan,2907,26.995184038527693,78475,145,6,0,0,0.0,0.0,0,0.0,0.0,0.0,0.25,726,0,0.0
hinge_production_filtered,"(1, 0, 3, 3, 1, 3, 1, 4)",facility: ρ = type  │  femalepart: ρ = id  │  formedpart: ρ = type  │  hinge: ρ = type  │  hingepack: ρ = type  │  malepart: ρ = type  │  steelpin: ρ = type  │  steelsheet: ρ = type,False,no merging (K = n_executions),2907,2907,1.0,14,0.9333333333333333,26.995184038527693,1,1.0,1,0.0,0.0,0.1988649159999909,,,0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.25,0,0,0.0
hinge_production_filtered,"(1, 1, 2, 3, 1, 3, 1, 4)",facility: ρ = type  │  femalepart: ρ = type  │  formedpart: ρ = p_masskg_band  │  hinge: ρ = type  │  hingepack: ρ = type  │  malepart: ρ = type  │  steelpin: ρ = type  │  steelsheet: ρ = type,True,,15,2907,0.005159958720330237,14,0.9333333333333333,26.995184038527693,1,193.8,608,0.9948400412796697,0.0,0.3286452920000045,3.3199781670000448,gspan,2907,26.995184038527693,78475,145,11,8,787,1130.375,1297.0,1372,0.38884588923288615,0.4461644306845545,0.4719642242862057,0.25,726,8,1.0
hinge_production_filtered,"(1, 1, 3, 2, 1, 3, 1, 4)",facility: ρ = type  │  femalepart: ρ = type  │  formedpart: ρ = type  │  hinge: ρ = p_masskg_band  │  hingepack: ρ = type  │  malepart: ρ = type  │  steelpin: ρ = type  │  steelsheet: ρ = type,True,,28,2907,0.009631922944616443,14,0.9333333333333333,26.995184038527693,1,103.82142857142857,696,0.9903680770553835,0.0,0.39713841700000785,40.709014042000035,gspan,2907,26.995184038527693,78475,145,17,14,198,509.35714285714283,497.0,1367,0.1752174554032139,0.17096663226694186,0.4702442380460956,0.25,726,2,0.14285714285714285
hinge_production_filtered,"(1, 1, 3, 3, 0, 3, 1, 4)",facility: ρ = type  │  femalepart: ρ = type  │  formedpart: ρ = type  │  hinge: ρ = type  │  hingepack: ρ = id  │  malepart: ρ = type  │  steelpin: ρ = type  │  steelsheet: ρ = type,True,,291,2907,0.1001031991744066,14,0.9333333333333333,26.995184038527693,7,9.989690721649485,10,0.8998968008255934,0.0,0.20280541700000754,1.8323638340000343,gspan,2907,26.995184038527693,78475,145,4,0,0,0.0,0.0,0,0.0,0.0,0.0,0.25,726,0,0.0
hinge_production_filtered,"(1, 1, 3, 3, 1, 2, 1, 4)",facility: ρ = type  │  femalepart: ρ = type  │  formedpart: ρ = type  │  hinge: ρ = type  │  hingepack: ρ = type  │  malepart: ρ = p_masskg_band  │  steelpin: ρ = type  │  steelsheet: ρ = type,True,,6,2907,0.0020639834881320948,14,0.9333333333333333,26.995184038527693,2,484.5,1266,0.9979360165118679,0.0,0.20353733299999988,3.515552083999978,gspan,2907,26.995184038527693,78475,145,10,7,788,1018.5714285714286,848,1268,0.3503857683424247,0.2917096663226694,0.43618851049191604,0.25,726,7,1.0
hinge_production_filtered,"(1, 1, 3, 3, 1, 3, 0, 4)",facility: ρ = type  │  femalepart: ρ = type  │  formedpart: ρ = type  │  hinge: ρ = type  │  hingepack: ρ = type  │  malepart: ρ = type  │  steelpin: ρ = id  │  steelsheet: ρ = type,False,no merging (K = n_executions),2907,2907,1.0,14,0.9333333333333333,26.995184038527693,1,1.0,1,0.0,0.0,0.20279216699999836,,,0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.25,0,0,0.0
hinge_production_filtered,"(1, 1, 3, 3, 1, 3, 1, 2)",facility: ρ = type  │  femalepart: ρ = type  │  formedpart: ρ = type  │  hinge: ρ = type  │  hingepack: ρ = type  │  malepart: ρ = type  │  steelpin: ρ = type  │  steelsheet: ρ = p_masskg_band,True,,15,2907,0.005159958720330237,15,1.0,26.995184038527693,1,193.8,631,0.9948400412796697,0.0,0.1843616250000082,3.915939083000012,gspan,2907,26.995184038527693,78475,145,14,10,1187,1661.8,1495.0,2066,0.5716546267629858,0.5142758857929136,0.7106983144134847,0.25,726,10,1.0
hinge_production_filtered,"(1, 1, 3, 3, 1, 3, 1, 3)",facility: ρ = type  │  femalepart: ρ = type  │  formedpart: ρ = type  │  hinge: ρ = type  │  hingepack: ρ = type  │  malepart: ρ = type  │  steelpin: ρ = type  │  steelsheet: ρ = SteelCoil,True,,11,2907,0.003783969728242174,14,0.9333333333333333,26.995184038527693,6,264.27272727272725,712,0.9962160302717579,0.0,0.4950785829999944,3.709174125000004,gspan,2907,26.995184038527693,78475,145,14,10,702,773.9,793.0,810,0.26621947024423803,0.27278981768145855,0.2786377708978328,0.25,726,8,0.8
hinge_production_filtered,"(0, 1, 2, 3, 1, 3, 1, 4)",facility: ρ = id  │  femalepart: ρ = type  │  formedpart: ρ = p_masskg_band  │  hinge: ρ = type  │  hingepack: ρ = type  │  malepart: ρ = type  │  steelpin: ρ = type  │  steelsheet: ρ = type,True,,15,2907,0.005159958720330237,13,0.8666666666666667,26.995184038527693,1,193.8,608,0.9948400412796697,0.0,0.19138691599999902,3.386703417000035,gspan,2907,26.995184038527693,78475,145,11,8,787,1130.375,1297.0,1372,0.38884588923288615,0.4461644306845545,0.4719642242862057,0.25,726,8,1.0
hinge_production_filtered,"(0, 1, 3, 2, 1, 3, 1, 4)",facility: ρ = id  │  femalepart: ρ = type  │  formedpart: ρ = type  │  hinge: ρ = p_masskg_band  │  hingepack: ρ = type  │  malepart: ρ = type  │  steelpin: ρ = type  │  steelsheet: ρ = type,True,,28,2907,0.009631922944616443,13,0.8666666666666667,26.995184038527693,1,103.82142857142857,696,0.9903680770553835,0.0,0.20449275,44.55433275000007,gspan,2907,26.995184038527693,78475,145,17,14,198,509.35714285714283,497.0,1367,0.1752174554032139,0.17096663226694186,0.4702442380460956,0.25,726,2,0.14285714285714285
hinge_production_filtered,"(0, 1, 3, 3, 0, 3, 1, 4)",facility: ρ = id  │  femalepart: ρ = type  │  formedpart: ρ = type  │  hinge: ρ = type  │  hingepack: ρ = id  │  malepart: ρ = type  │  steelpin: ρ = type  │  steelsheet: ρ = type,True,,291,2907,0.1001031991744066,13,0.8666666666666667,26.995184038527693,7,9.989690721649485,10,0.8998968008255934,0.0,0.5804310000000044,1.7784478749999835,gspan,2907,26.995184038527693,78475,145,4,0,0,0.0,0.0,0,0.0,0.0,0.0,0.25,726,0,0.0
hinge_production_filtered,"(0, 1, 3, 3, 1, 2, 1, 4)",facility: ρ = id  │  femalepart: ρ = type  │  formedpart: ρ = type  │  hinge: ρ = type  │  hingepack: ρ = type  │  malepart: ρ = p_masskg_band  │  steelpin: ρ = type  │  steelsheet: ρ = type,True,,6,2907,0.0020639834881320948,13,0.8666666666666667,26.995184038527693,2,484.5,1266,0.9979360165118679,0.0,0.2024297500000074,3.222526249999987,gspan,2907,26.995184038527693,78475,145,10,7,788,1018.5714285714286,848,1268,0.3503857683424247,0.2917096663226694,0.43618851049191604,0.25,726,7,1.0
hinge_production_filtered,"(0, 1, 3, 3, 1, 3, 1, 2)",facility: ρ = id  │  femalepart: ρ = type  │  formedpart: ρ = type  │  hinge: ρ = type  │  hingepack: ρ = type  │  malepart: ρ = type  │  steelpin: ρ = type  │  steelsheet: ρ = p_masskg_band,True,,15,2907,0.005159958720330237,14,0.9333333333333333,26.995184038527693,1,193.8,631,0.9948400412796697,0.0,0.6138482499999895,3.7817282500000147,gspan,2907,26.995184038527693,78475,145,14,10,1187,1661.8,1495.0,2066,0.5716546267629858,0.5142758857929136,0.7106983144134847,0.25,726,10,1.0
hinge_production_filtered,"(0, 1, 3, 3, 1, 3, 1, 3)",facility: ρ = id  │  femalepart: ρ = type  │  formedpart: ρ = type  │  hinge: ρ = type  │  hingepack: ρ = type  │  malepart: ρ = type  │  steelpin: ρ = type  │  steelsheet: ρ = SteelCoil,True,,11,2907,0.003783969728242174,13,0.8666666666666667,26.995184038527693,6,264.27272727272725,712,0.9962160302717579,0.0,0.6110200419999927,3.9138049590000037,gspan,2907,26.995184038527693,78475,145,14,10,702,773.9,793.0,810,0.26621947024423803,0.27278981768145855,0.2786377708978328,0.25,726,8,0.8
hinge_production_filtered,"(1, 1, 1, 3, 1, 3, 1, 4)",facility: ρ = type  │  femalepart: ρ = type  │  formedpart: ρ = p_masskg  │  hinge: ρ = type  │  hingepack: ρ = type  │  malepart: ρ = type  │  steelpin: ρ = type  │  steelsheet: ρ = type,True,,1512,2907,0.5201238390092879,13,0.8666666666666667,26.995184038527693,1,1.9226190476190477,8,0.47987616099071206,0.0,0.18367891700000882,4.837503707999986,gspan,2907,26.995184038527693,78475,145,17,14,163,188.07142857142858,189.0,207,0.06469605386014055,0.06501547987616099,0.07120743034055728,0.25,726,0,0.0
hinge_production_filtered,"(1, 1, 2, 2, 1, 3, 1, 4)",facility: ρ = type  │  femalepart: ρ = type  │  formedpart: ρ = p_masskg_band  │  hinge: ρ = p_masskg_band  │  hingepack: ρ = type  │  malepart: ρ = type  │  steelpin: ρ = type  │  steelsheet: ρ = type,True,,120,2907,0.0412796697626419,13,0.8666666666666667,26.995184038527693,1,24.225,271,0.9587203302373581,0.0,0.19507879099998604,44.385719041000016,gspan,2907,26.995184038527693,78475,145,23,23,198,733.4782608695652,696,1372,0.25231450322310467,0.239422084623323,0.4719642242862057,0.25,726,10,0.43478260869565216
