cfg,phi,interesting,reason_skipped,K,n_executions,avg_behavior_size,support_min,support_mean,support_max,reduction_from_bottom,compression_from_bottom
"(1, 1, 3, 3, 1, 3, 1, 4)",facility: ρ = type  │  femalepart: ρ = type  │  formedpart: ρ = type  │  hinge: ρ = type  │  hingepack: ρ = type  │  malepart: ρ = type  │  steelpin: ρ = type  │  steelsheet: ρ = type,True,,2,2907,26.995184038527693,7,1453.5,2900,0.9993120055039559,0.0
"(0, 1, 3, 3, 1, 3, 1, 4)",facility: ρ = id  │  femalepart: ρ = type  │  formedpart: ρ = type  │  hinge: ρ = type  │  hingepack: ρ = type  │  malepart: ρ = type  │  steelpin: ρ = type  │  steelsheet: ρ = type,True,,2,2907,26.995184038527693,7,1453.5,2900,0.9993120055039559,0.0
"(1, 0, 3, 3, 1, 3, 1, 4)",facility: ρ = type  │  femalepart: ρ = id  │  formedpart: ρ = type  │  hinge: ρ = type  │  hingepack: ρ = type  │  malepart: ρ = type  │  steelpin: ρ = type  │  steelsheet: ρ = type,False,no merging (K = n_executions),2907,2907,26.995184038527693,1,1.0,1,0.0,0.0
"(1, 1, 2, 3, 1, 3, 1, 4)",facility: ρ = type  │  femalepart: ρ = type  │  formedpart: ρ = p_masskg_band  │  hinge: ρ = type  │  hingepack: ρ = type  │  malepart: ρ = type  │  steelpin: ρ = type  │  steelsheet: ρ = type,True,,15,2907,26.995184038527693,1,193.8,608,0.9948400412796697,0.0
"(1, 1, 3, 2, 1, 3, 1, 4)",facility: ρ = type  │  femalepart: ρ = type  │  formedpart: ρ = type  │  hinge: ρ = p_masskg_band  │  hingepack: ρ = type  │  malepart: ρ = type  │  steelpin: ρ = type  │  steelsheet: ρ = type,True,,28,2907,26.995184038527693,1,103.82142857142857,696,0.9903680770553835,0.0
"(1, 1, 3, 3, 0, 3, 1, 4)",facility: ρ = type  │  femalepart: ρ = type  │  formedpart: ρ = type  │  hinge: ρ = type  │  hingepack: ρ = id  │  malepart: ρ = type  │  steelpin: ρ = type  │  steelsheet: ρ = type,True,,291,2907,26.995184038527693,7,9.989690721649485,10,0.8998968008255934,0.0
"(1, 1, 3, 3, 1, 2, 1, 4)",facility: ρ = type  │  femalepart: ρ = type  │  formedpart: ρ = type  │  hinge: ρ = type  │  hingepack: ρ = type  │  malepart: ρ = p_masskg_band  │  steelpin: ρ = type  │  steelsheet: ρ = type,True,,6,2907,26.995184038527693,2,484.5,1266,0.9979360165118679,0.0
"(1, 1, 3, 3, 1, 3, 0, 4)",facility: ρ = type  │  femalepart: ρ = type  │  formedpart: ρ = type  │  hinge: ρ = type  │  hingepack: ρ = type  │  malepart: ρ = type  │  steelpin: ρ = id  │  steelsheet: ρ = type,False,no merging (K = n_executions),2907,2907,26.995184038527693,1,1.0,1,0.0,0.0
"(1, 1, 3, 3, 1, 3, 1, 2)",facility: ρ = type  │  femalepart: ρ = type  │  formedpart: ρ = type  │  hinge: ρ = type  │  hingepack: ρ = type  │  malepart: ρ = type  │  steelpin: ρ = type  │  steelsheet: ρ = p_masskg_band,True,,15,2907,26.995184038527693,1,193.8,631,0.9948400412796697,0.0
"(1, 1, 3, 3, 1, 3, 1, 3)",facility: ρ = type  │  femalepart: ρ = type  │  formedpart: ρ = type  │  hinge: ρ = type  │  hingepack: ρ = type  │  malepart: ρ = type  │  steelpin: ρ = type  │  steelsheet: ρ = SteelCoil,True,,11,2907,26.995184038527693,6,264.27272727272725,712,0.9962160302717579,0.0
