dataset,cfg,phi,interesting,reason_skipped,K,n_executions,K_ratio,cfg_height,cfg_height_norm,avg_behavior_size,support_min,support_mean,support_max,reduction_from_bottom,compression_from_bottom,behavior_time_s,mining_time_s,miner,n_graphs,avg_mining_graph_size,total_mining_graph_size,min_support_effective,n_patterns_raw,n_patterns_in_window,pattern_support_min,pattern_support_mean,pattern_support_median,pattern_support_max,pattern_support_ratio_mean,pattern_support_ratio_median,pattern_support_ratio_max,high_support_threshold_ratio,high_support_threshold_abs,n_high_support_patterns,high_support_pattern_ratio
order-management_filtered,"(7, 4, 3)",items: ρ = type  │  orders: ρ = type  │  packages: ρ = type,True,,1388,2000,0.694,9,1.0,35.7795,1,1.440922190201729,44,0.30600000000000005,0.5443088757848619,0.2913887079999995,221.88614462500001,gspan,2000,29.713,59426,100,393,383,100,278.06788511749346,193,1430,0.13903394255874674,0.0965,0.715,0.25,500,60,0.1566579634464752
order-management_filtered,"(2, 4, 3)",items: ρ = price_band  │  orders: ρ = type  │  packages: ρ = type,True,,1927,2000,0.9635,8,0.8888888888888888,47.8665,1,1.0378827192527245,5,0.03649999999999998,0.39036769107327074,0.2940600840000016,57.02491495800001,gspan,2000,32.66,65320,100,71,71,100,409.80281690140845,389,1061,0.20490140845070423,0.1945,0.5305,0.25,500,34,0.4788732394366197
order-management_filtered,"(6, 4, 3)",items: ρ = products_weight_band  │  orders: ρ = type  │  packages: ρ = type,True,,1942,2000,0.971,8,0.8888888888888888,47.3845,1,1.0298661174047374,4,0.029000000000000026,0.3965064890405898,0.29216608400000155,77.52498891700003,gspan,2000,32.4935,64987,100,113,113,100,283.50442477876106,238,611,0.14175221238938054,0.119,0.3055,0.25,500,28,0.24778761061946902
order-management_filtered,"(7, 2, 3)",items: ρ = type  │  orders: ρ = price_band  │  packages: ρ = type,True,,1530,2000,0.765,9,1.0,35.7795,1,1.3071895424836601,30,0.235,0.5443088757848619,0.2965848340000008,90.97250758399991,gspan,2000,29.713,59426,100,248,240,101,220.69166666666666,167.0,744,0.11034583333333334,0.0835,0.372,0.25,500,13,0.05416666666666667
order-management_filtered,"(7, 3, 3)",items: ρ = type  │  orders: ρ = customers  │  packages: ρ = type,True,,1840,2000,0.92,8,0.8888888888888888,35.7795,1,1.0869565217391304,6,0.07999999999999996,0.5443088757848619,0.29495912500000543,21.337318874999937,gspan,2000,29.713,59426,100,75,67,102,248.92537313432837,157,695,0.12446268656716418,0.0785,0.3475,0.25,500,7,0.1044776119402985
order-management_filtered,"(7, 4, 2)",items: ρ = type  │  orders: ρ = type  │  packages: ρ = weight_band,True,,1663,2000,0.8315,8,0.8888888888888888,36.6125,1,1.2026458208057726,16,0.16849999999999998,0.5336997083434161,0.2791855000000041,239.60348420799994,gspan,2000,30.3915,60783,100,451,449,100,251.93318485523386,174,1430,0.12596659242761693,0.087,0.715,0.25,500,39,0.08685968819599109
order-management_filtered,"(2, 2, 3)",items: ρ = price_band  │  orders: ρ = price_band  │  packages: ρ = type,True,,1930,2000,0.965,8,0.8888888888888888,46.699,1,1.0362694300518134,5,0.03500000000000003,0.4052370824152731,0.2949210000000022,73.03973420800003,gspan,2000,32.66,65320,100,72,72,101,413.15277777777777,401.0,1061,0.20657638888888888,0.2005,0.5305,0.25,500,34,0.4722222222222222
order-management_filtered,"(2, 3, 3)",items: ρ = price_band  │  orders: ρ = customers  │  packages: ρ = type,True,,1992,2000,0.996,7,0.7777777777777778,47.8665,1,1.0040160642570282,2,0.0040000000000000036,0.39036769107327074,0.2981320000000025,65.13878324999996,gspan,2000,32.66,65320,100,50,50,118,517.4,553.0,1061,0.2587,0.2765,0.5305,0.25,500,34,0.68
order-management_filtered,"(2, 4, 2)",items: ρ = price_band  │  orders: ρ = type  │  packages: ρ = weight_band,True,,1911,2000,0.9555,7,0.7777777777777778,43.457,1,1.0465724751439036,5,0.044499999999999984,0.4465275035979469,0.47737712500000384,31.45662579100008,gspan,2000,32.6575,65315,100,71,71,100,377.3521126760563,206,1141,0.18867605633802817,0.103,0.5705,0.25,500,22,0.30985915492957744
order-management_filtered,"(4, 4, 3)",items: ρ = products_price  │  orders: ρ = type  │  packages: ρ = type,False,no merging (K = n_executions),2000,2000,1.0,7,0.7777777777777778,70.53,1,1.0,1,0.0,0.10172319370327443,0.30703579200000064,,,0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.25,0,0,0.0
