cfg,phi,interesting,reason_skipped,K,n_executions,avg_behavior_size,support_min,support_mean,support_max,reduction_from_bottom,compression_from_bottom
"(7, 4, 3)",items: ρ = type  │  orders: ρ = type  │  packages: ρ = type,True,,1388,2000,35.7795,1,1.440922190201729,44,0.30600000000000005,0.5443088757848619
"(2, 4, 3)",items: ρ = price_band  │  orders: ρ = type  │  packages: ρ = type,True,,1927,2000,47.8665,1,1.0378827192527245,5,0.03649999999999998,0.39036769107327074
"(6, 4, 3)",items: ρ = products_weight_band  │  orders: ρ = type  │  packages: ρ = type,True,,1942,2000,47.3845,1,1.0298661174047374,4,0.029000000000000026,0.3965064890405898
"(7, 2, 3)",items: ρ = type  │  orders: ρ = price_band  │  packages: ρ = type,True,,1530,2000,35.7795,1,1.3071895424836601,30,0.235,0.5443088757848619
"(7, 3, 3)",items: ρ = type  │  orders: ρ = customers  │  packages: ρ = type,True,,1840,2000,35.7795,1,1.0869565217391304,6,0.07999999999999996,0.5443088757848619
"(7, 4, 2)",items: ρ = type  │  orders: ρ = type  │  packages: ρ = weight_band,True,,1663,2000,36.6125,1,1.2026458208057726,16,0.16849999999999998,0.5336997083434161
"(2, 2, 3)",items: ρ = price_band  │  orders: ρ = price_band  │  packages: ρ = type,True,,1930,2000,46.699,1,1.0362694300518134,5,0.03500000000000003,0.4052370824152731
"(2, 3, 3)",items: ρ = price_band  │  orders: ρ = customers  │  packages: ρ = type,True,,1992,2000,47.8665,1,1.0040160642570282,2,0.0040000000000000036,0.39036769107327074
"(2, 4, 2)",items: ρ = price_band  │  orders: ρ = type  │  packages: ρ = weight_band,True,,1911,2000,43.457,1,1.0465724751439036,5,0.044499999999999984,0.4465275035979469
"(4, 4, 3)",items: ρ = products_price  │  orders: ρ = type  │  packages: ρ = type,False,no merging (K = n_executions),2000,2000,70.53,1,1.0,1,0.0,0.10172319370327443
"(5, 4, 3)",items: ρ = products_weight  │  orders: ρ = type  │  packages: ρ = type,False,no merging (K = n_executions),2000,2000,69.0425,1,1.0,1,0.0,0.12066813556299905
