section,name,value,unit,cfg,K,avg_behavior_size,support_min,support_mean,support_max,reduction_from_bottom,compression_from_bottom
timing,load_ocel,0.4186723232269287,seconds,,,,,,,,
timing,execution_extraction,45.553938150405884,seconds,,,,,,,,
timing,kpi_computation,0.5436789989471436,seconds,,,,,,,,
timing,rho_hierarchy_building,0.08477902412414551,seconds,,,,,,,,
timing,configuration_enumeration,2.6226043701171875e-05,seconds,,,,,,,,
timing,behavior_computation,1.3768320083618164,seconds,,,,,,,,
timing,isomorphism_check,1.2708101272583008,seconds,,,,,,,,
timing,behavior_and_iso_computation,2.648484945297241,seconds,,,,,,,,
timing,lattice_metrics,0.0010607242584228516,seconds,,,,,,,,
timing,subgraph_mining_and_kpi_scoring,336.82988810539246,seconds,,,,,,,,
timing,total,388.5431180000305,seconds,,,,,,,,
summary,n_events,28278,count,,,,,,,,
summary,n_objects,8819,count,,,,,,,,
summary,n_executions,2000,count,,,,,,,,
summary,n_object_types,9,count,,,,,,,,
summary,n_cfg_total,1,count,,,,,,,,
summary,n_cfg_interesting,1,count,,,,,,,,
summary,n_cfg_mineable,1,count,,,,,,,,
summary,n_cfg_skipped,0,count,,,,,,,,
summary,n_patterns_total,10,count,,,,,,,,
summary,n_patterns_top,10,count,,,,,,,,
lattice_node,bottom,,,creditnote: ρ = id  │  customer: ρ = id  │  dispute: ρ = id  │  invoice: ρ = id  │  order: ρ = id  │  payment: ρ = id  │  product: ρ = id  │  return: ρ = id  │  shipment: ρ = id,2000,269.5165,1,1.0,1,0.0,0.0
lattice_node,top,,,creditnote: ρ = type  │  customer: ρ = type  │  dispute: ρ = type  │  invoice: ρ = type  │  order: ρ = type  │  payment: ρ = type  │  product: ρ = type  │  return: ρ = type  │  shipment: ρ = type,1903,180.6585,1,1.0509721492380453,18,0.04849999999999999,0.3296941003612024
