section,name,value,unit,cfg,K,avg_behavior_size,support_min,support_mean,support_max,reduction_from_bottom,compression_from_bottom
timing,load_ocel,0.27497100830078125,seconds,,,,,,,,
timing,execution_extraction,20.476539134979248,seconds,,,,,,,,
timing,rho_hierarchy_building,0.10593175888061523,seconds,,,,,,,,
timing,kpi_computation,0.19516992568969727,seconds,,,,,,,,
timing,configuration_enumeration,0.06281924247741699,seconds,,,,,,,,
timing,behavior_computation,379.41918070600076,seconds,,,,,,,,
timing,isomorphism_check,678.8402788639069,seconds,,,,,,,,
timing,behavior_and_iso_computation,1059.345721244812,seconds,,,,,,,,
timing,lattice_metrics,5.7502641677856445,seconds,,,,,,,,
timing,subgraph_mining_and_kpi_scoring,94293.10626006126,seconds,,,,,,,,
timing,total,95380.84505391121,seconds,,,,,,,,
summary,n_events,14671,count,,,,,,,,
summary,n_objects,9054,count,,,,,,,,
summary,n_executions,927,count,,,,,,,,
summary,n_object_types,7,count,,,,,,,,
summary,n_cfg_total,28800,count,,,,,,,,
summary,n_cfg_interesting,1818,count,,,,,,,,
summary,n_cfg_mineable,1819,count,,,,,,,,
summary,n_cfg_skipped,26982,count,,,,,,,,
summary,n_patterns_total,17007,count,,,,,,,,
summary,n_patterns_top,10,count,,,,,,,,
lattice_node,bottom,,,goods_receipt: ρ = id  │  invoice_receipt: ρ = id  │  material: ρ = id  │  payment: ρ = id  │  purchase_order: ρ = id  │  purchase_requisition: ρ = id  │  quotation: ρ = id,927,44.81553398058252,1,1.0,1,0.0,0.0
lattice_node,top,,,goods_receipt: ρ = type  │  invoice_receipt: ρ = type  │  material: ρ = type  │  payment: ρ = type  │  purchase_order: ρ = type  │  purchase_requisition: ρ = type  │  quotation: ρ = type,494,43.19093851132686,1,1.8765182186234817,127,0.4670981661272924,0.03625072212593872
