dataset,cfg,phi,interesting,reason_skipped,K,n_executions,K_ratio,cfg_height,cfg_height_norm,avg_behavior_size,support_min,support_mean,support_max,reduction_from_bottom,compression_from_bottom,behavior_time_s,mining_time_s,miner,n_graphs,avg_mining_graph_size,total_mining_graph_size,min_support_effective,n_patterns_raw,n_patterns_in_window,pattern_support_min,pattern_support_mean,pattern_support_median,pattern_support_max,pattern_support_ratio_mean,pattern_support_ratio_median,pattern_support_ratio_max,high_support_threshold_ratio,high_support_threshold_abs,n_high_support_patterns,high_support_pattern_ratio
ocel2-p2p_filtered,"(2, 3, 9, 4, 3, 2, 3)",goods_receipt: ρ = type  │  invoice_receipt: ρ = type  │  material: ρ = type  │  payment: ρ = type  │  purchase_order: ρ = type  │  purchase_requisition: ρ = type  │  quotation: ρ = type,True,,494,927,0.5329018338727076,18,0.9473684210526315,43.19093851132686,1,1.8765182186234817,127,0.4670981661272924,0.03625072212593872,0.0918814999999995,72.89800575000004,gspan,927,37.81877022653722,35058,48,292,291,48,137.22680412371133,95,579,0.14803322990691622,0.10248112189859762,0.6245954692556634,0.25,231,45,0.15463917525773196
ocel2-p2p_filtered,"(1, 3, 9, 4, 3, 2, 3)",goods_receipt: ρ = PostingDateMKPFBLDAT  │  invoice_receipt: ρ = type  │  material: ρ = type  │  payment: ρ = type  │  purchase_order: ρ = type  │  purchase_requisition: ρ = type  │  quotation: ρ = type,False,no merging (K = n_executions),927,927,1.0,17,0.8947368421052632,43.5210355987055,1,1.0,1,0.0,0.02888503755054872,0.08732220799999979,,,0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.25,0,0,0.0
ocel2-p2p_filtered,"(2, 2, 9, 4, 3, 2, 3)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR_band  │  material: ρ = type  │  payment: ρ = type  │  purchase_order: ρ = type  │  purchase_requisition: ρ = type  │  quotation: ρ = type,True,,537,927,0.5792880258899676,17,0.8947368421052632,43.19093851132686,1,1.7262569832402235,90,0.42071197411003236,0.03625072212593872,0.0933059589999985,116.11011450000001,gspan,927,37.81877022653722,35058,48,383,383,48,123.49869451697128,90,579,0.13322405018012004,0.0970873786407767,0.6245954692556634,0.25,231,46,0.12010443864229765
ocel2-p2p_filtered,"(2, 3, 4, 4, 3, 2, 3)",goods_receipt: ρ = type  │  invoice_receipt: ρ = type  │  material: ρ = NetPriceEKPONETPR_band  │  payment: ρ = type  │  purchase_order: ρ = type  │  purchase_requisition: ρ = type  │  quotation: ρ = type,True,,557,927,0.6008629989212514,19,1.0,43.34519956850054,1,1.6642728904847397,63,0.3991370010787486,0.0328085884844983,0.09284524999999988,102.03903070900014,gspan,927,37.81877022653722,35058,48,301,300,48,133.57333333333332,90.0,579,0.1440920532182668,0.0970873786407767,0.6245954692556634,0.25,231,44,0.14666666666666667
ocel2-p2p_filtered,"(2, 3, 5, 4, 3, 2, 3)",goods_receipt: ρ = type  │  invoice_receipt: ρ = type  │  material: ρ = PlantEKPOWERKS  │  payment: ρ = type  │  purchase_order: ρ = type  │  purchase_requisition: ρ = type  │  quotation: ρ = type,True,,638,927,0.6882416396979504,17,0.8947368421052632,44.01294498381877,1,1.4529780564263324,63,0.3117583603020496,0.01790872328134019,0.09331854100000214,132.94848449999995,gspan,927,37.81877022653722,35058,48,287,286,48,136.06293706293707,92.0,579,0.146777709884506,0.09924487594390508,0.6245954692556634,0.25,231,44,0.15384615384615385
ocel2-p2p_filtered,"(2, 3, 7, 4, 3, 2, 3)",goods_receipt: ρ = type  │  invoice_receipt: ρ = type  │  material: ρ = QuantityEKPOMENGE_band  │  payment: ρ = type  │  purchase_order: ρ = type  │  purchase_requisition: ρ = type  │  quotation: ρ = type,True,,601,927,0.6483279395900755,18,0.9473684210526315,43.80474649406688,1,1.5424292845257903,63,0.3516720604099245,0.022554400154053522,0.17245695899999802,74.92446904099984,gspan,927,37.81877022653722,35058,48,296,295,48,133.5186440677966,88,579,0.14403305724681403,0.09492988133764833,0.6245954692556634,0.25,231,44,0.14915254237288136
ocel2-p2p_filtered,"(2, 3, 8, 4, 3, 2, 3)",goods_receipt: ρ = type  │  invoice_receipt: ρ = type  │  material: ρ = StorageLocationEKPOLGORT  │  payment: ρ = type  │  purchase_order: ρ = type  │  purchase_requisition: ρ = type  │  quotation: ρ = type,True,,644,927,0.6947141316073355,17,0.8947368421052632,44.01294498381877,1,1.43944099378882,63,0.3052858683926645,0.01790872328134019,0.0927834169999997,71.18865474999984,gspan,927,37.81877022653722,35058,48,287,286,48,136.06293706293707,92.0,579,0.146777709884506,0.09924487594390508,0.6245954692556634,0.25,231,44,0.15384615384615385
ocel2-p2p_filtered,"(2, 3, 9, 2, 3, 2, 3)",goods_receipt: ρ = type  │  invoice_receipt: ρ = type  │  material: ρ = type  │  payment: ρ = AmountDMBTR_band  │  purchase_order: ρ = type  │  purchase_requisition: ρ = type  │  quotation: ρ = type,True,,538,927,0.5803667745415318,18,0.9473684210526315,43.19093851132686,1,1.7230483271375465,90,0.41963322545846815,0.03625072212593872,0.0932202079999982,62.032577790999994,gspan,927,37.81877022653722,35058,48,270,269,48,125.76579925650557,90,579,0.13566968636084745,0.0970873786407767,0.6245954692556634,0.25,231,34,0.12639405204460966
ocel2-p2p_filtered,"(2, 3, 9, 3, 3, 2, 3)",goods_receipt: ρ = type  │  invoice_receipt: ρ = type  │  material: ρ = type  │  payment: ρ = PaymentMethodZLSCH  │  purchase_order: ρ = type  │  purchase_requisition: ρ = type  │  quotation: ρ = type,True,,554,927,0.5976267529665588,17,0.8947368421052632,43.19093851132686,1,1.6732851985559567,43,0.40237324703344124,0.03625072212593872,0.09287833300000159,60.771526874999836,gspan,927,37.81877022653722,35058,48,245,244,48,125.43442622950819,91.0,579,0.13531221815480926,0.09816612729234088,0.6245954692556634,0.25,231,29,0.11885245901639344
ocel2-p2p_filtered,"(2, 3, 9, 4, 1, 2, 3)",goods_receipt: ρ = type  │  invoice_receipt: ρ = type  │  material: ρ = type  │  payment: ρ = type  │  purchase_order: ρ = PurchasingGroupEKKOEKGRP  │  purchase_requisition: ρ = type  │  quotation: ρ = type,True,,558,927,0.6019417475728155,17,0.8947368421052632,43.19093851132686,1,1.6612903225806452,34,0.3980582524271845,0.03625072212593872,0.09324454200000076,98.38031195899976,gspan,927,37.81877022653722,35058,48,270,270,48,84.92592592592592,71.0,499,0.0916137280754325,0.07659115426105717,0.5382955771305286,0.25,231,6,0.022222222222222223
