cfg,phi,interesting,reason_skipped,K,n_executions,avg_behavior_size,support_min,support_mean,support_max,reduction_from_bottom,compression_from_bottom
"(2, 3, 9, 4, 3, 2, 3)",goods_receipt: ρ = type  │  invoice_receipt: ρ = type  │  material: ρ = type  │  payment: ρ = type  │  purchase_order: ρ = type  │  purchase_requisition: ρ = type  │  quotation: ρ = type,True,,494,927,43.19093851132686,1,1.8765182186234817,127,0.4670981661272924,0.03625072212593872
"(1, 3, 9, 4, 3, 2, 3)",goods_receipt: ρ = PostingDateMKPFBLDAT  │  invoice_receipt: ρ = type  │  material: ρ = type  │  payment: ρ = type  │  purchase_order: ρ = type  │  purchase_requisition: ρ = type  │  quotation: ρ = type,False,no merging (K = n_executions),927,927,43.5210355987055,1,1.0,1,0.0,0.02888503755054872
"(2, 2, 9, 4, 3, 2, 3)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR_band  │  material: ρ = type  │  payment: ρ = type  │  purchase_order: ρ = type  │  purchase_requisition: ρ = type  │  quotation: ρ = type,True,,537,927,43.19093851132686,1,1.7262569832402235,90,0.42071197411003236,0.03625072212593872
"(2, 3, 4, 4, 3, 2, 3)",goods_receipt: ρ = type  │  invoice_receipt: ρ = type  │  material: ρ = NetPriceEKPONETPR_band  │  payment: ρ = type  │  purchase_order: ρ = type  │  purchase_requisition: ρ = type  │  quotation: ρ = type,True,,557,927,43.34519956850054,1,1.6642728904847397,63,0.3991370010787486,0.0328085884844983
"(2, 3, 5, 4, 3, 2, 3)",goods_receipt: ρ = type  │  invoice_receipt: ρ = type  │  material: ρ = PlantEKPOWERKS  │  payment: ρ = type  │  purchase_order: ρ = type  │  purchase_requisition: ρ = type  │  quotation: ρ = type,True,,638,927,44.01294498381877,1,1.4529780564263324,63,0.3117583603020496,0.01790872328134019
"(2, 3, 7, 4, 3, 2, 3)",goods_receipt: ρ = type  │  invoice_receipt: ρ = type  │  material: ρ = QuantityEKPOMENGE_band  │  payment: ρ = type  │  purchase_order: ρ = type  │  purchase_requisition: ρ = type  │  quotation: ρ = type,True,,601,927,43.80474649406688,1,1.5424292845257903,63,0.3516720604099245,0.022554400154053522
"(2, 3, 8, 4, 3, 2, 3)",goods_receipt: ρ = type  │  invoice_receipt: ρ = type  │  material: ρ = StorageLocationEKPOLGORT  │  payment: ρ = type  │  purchase_order: ρ = type  │  purchase_requisition: ρ = type  │  quotation: ρ = type,True,,644,927,44.01294498381877,1,1.43944099378882,63,0.3052858683926645,0.01790872328134019
"(2, 3, 9, 2, 3, 2, 3)",goods_receipt: ρ = type  │  invoice_receipt: ρ = type  │  material: ρ = type  │  payment: ρ = AmountDMBTR_band  │  purchase_order: ρ = type  │  purchase_requisition: ρ = type  │  quotation: ρ = type,True,,538,927,43.19093851132686,1,1.7230483271375465,90,0.41963322545846815,0.03625072212593872
"(2, 3, 9, 3, 3, 2, 3)",goods_receipt: ρ = type  │  invoice_receipt: ρ = type  │  material: ρ = type  │  payment: ρ = PaymentMethodZLSCH  │  purchase_order: ρ = type  │  purchase_requisition: ρ = type  │  quotation: ρ = type,True,,554,927,43.19093851132686,1,1.6732851985559567,43,0.40237324703344124,0.03625072212593872
"(2, 3, 9, 4, 1, 2, 3)",goods_receipt: ρ = type  │  invoice_receipt: ρ = type  │  material: ρ = type  │  payment: ρ = type  │  purchase_order: ρ = PurchasingGroupEKKOEKGRP  │  purchase_requisition: ρ = type  │  quotation: ρ = type,True,,558,927,43.19093851132686,1,1.6612903225806452,34,0.3980582524271845,0.03625072212593872
"(2, 3, 9, 4, 3, 1, 3)",goods_receipt: ρ = type  │  invoice_receipt: ρ = type  │  material: ρ = type  │  payment: ρ = type  │  purchase_order: ρ = type  │  purchase_requisition: ρ = PurchasingGroupEBANEKGRP  │  quotation: ρ = type,True,,558,927,43.19093851132686,1,1.6612903225806452,34,0.3980582524271845,0.03625072212593872
"(2, 3, 9, 4, 3, 2, 1)",goods_receipt: ρ = type  │  invoice_receipt: ρ = type  │  material: ρ = type  │  payment: ρ = type  │  purchase_order: ρ = type  │  purchase_requisition: ρ = type  │  quotation: ρ = PurchasingGroupEBANEKGRP,True,,558,927,43.19093851132686,1,1.6612903225806452,34,0.3980582524271845,0.03625072212593872
"(2, 1, 9, 4, 3, 2, 3)",goods_receipt: ρ = type  │  invoice_receipt: ρ = CreditAmountBSEGWRBTR  │  material: ρ = type  │  payment: ρ = type  │  purchase_order: ρ = type  │  purchase_requisition: ρ = type  │  quotation: ρ = type,True,,909,927,43.19093851132686,1,1.0198019801980198,2,0.01941747572815533,0.03625072212593872
