section,name,value,unit,cfg,K,avg_behavior_size,support_min,support_mean,support_max,reduction_from_bottom,compression_from_bottom
timing,load_ocel,0.12764596939086914,seconds,,,,,,,,
timing,execution_extraction,8.307507991790771,seconds,,,,,,,,
timing,rho_hierarchy_building,0.0010569095611572266,seconds,,,,,,,,
timing,kpi_computation,0.039903879165649414,seconds,,,,,,,,
timing,configuration_enumeration,2.47955322265625e-05,seconds,,,,,,,,
timing,behavior_computation,0.8516935829999994,seconds,,,,,,,,
timing,isomorphism_check,1.8929352760314941,seconds,,,,,,,,
timing,behavior_and_iso_computation,2.7451021671295166,seconds,,,,,,,,
timing,lattice_metrics,0.00015592575073242188,seconds,,,,,,,,
timing,subgraph_mining_and_kpi_scoring,12.261840105056763,seconds,,,,,,,,
timing,total,134.01086902618408,seconds,,,,,,,,
summary,n_events,10319,count,,,,,,,,
summary,n_objects,1850,count,,,,,,,,
summary,n_executions,147,count,,,,,,,,
summary,n_object_types,2,count,,,,,,,,
summary,n_cfg_total,4,count,,,,,,,,
summary,n_cfg_interesting,1,count,,,,,,,,
summary,n_cfg_mineable,2,count,,,,,,,,
summary,n_cfg_skipped,3,count,,,,,,,,
summary,n_patterns_total,10,count,,,,,,,,
summary,n_patterns_top,10,count,,,,,,,,
lattice_node,bottom,,,matnr: ρ = id  │  nlqnr: ρ = id,147,207.49659863945578,1,1.0,1,0.0,0.0
lattice_node,top,,,matnr: ρ = type  │  nlqnr: ρ = type,61,207.49659863945578,1,2.4098360655737703,31,0.5850340136054422,0.0
